Europe Brent Spot Price FOB
https://www.eia.gov/dnav/pet/hist/LeafHandler.ashx?n=pet&s=rbrte&f=a
10:59:51 GMT+0100 (sentraleuropeisk normaltid)
Data Source: Thomson Reuters
Year,Europe Brent Spot Price FOB Dollars per Barrel
2020,41.96
2018,71.34
2017,54.13
2016,43.64
2015,52.32
2014,98.97
2013,108.56
2012,111.63
2011,111.26
2010,79.61
2009,61.74
2008,96.94
2007,72.44
2006,65.16
2005,54.57
2004,38.26
2003,28.85
2002,24.99
2001,24.46
2000,28.66
1999,17.9
1998,12.76
1997,19.11
1996,20.64
1995,17.02
1994,15.86
1993,17.01
1992,19.32
1991,20.04
1990,23.76
1989,18.23
1988,14.91
1987,18.53
