Elspot Prices in NOK/MWh,,,,,,,,,,,,,,,,,,,,,,
Data was last updated 04-05-2021,,,,,,,,,,,,,,,,,,,,,,
,SYS,SE1,SE2,SE3,SE4,FI,DK1,DK2,Oslo,Kr.sand,Bergen,Molde,Tr.heim,Tromsø,EE,LV,LT,AT,BE,DE-LU,FR,NL
1/1/2021,"285,86","273,38","273,38","273,38","378,47","274,18","505,50","505,50","272,60","272,60","272,60","267,89","267,89","236,81","378,47","378,47","378,47",,,,,
2/1/2021,"313,20","329,82","329,82","329,82","450,92","342,71","528,10","528,10","280,41","280,41","280,41","320,49","320,49","253,47","450,92","450,92","450,92",,,,,
3/1/2021,"269,14","269,28","269,28","269,28","285,23","269,75","297,11","313,06","269,28","269,28","269,28","269,28","269,28","229,56","330,46","330,46","330,46",,,,,
4/1/2021,"406,74","440,48","440,48","440,48","458,35","452,89","440,48","458,35","434,61","434,61","434,61","440,48","440,48","204,81","455,05","455,05","458,35",,,,,
5/1/2021,"456,62","493,48","493,48","493,48","493,48","493,48","493,42","493,48","480,22","480,22","480,22","493,48","493,48","209,59","493,48","493,48","493,48",,,,,
6/1/2021,"413,62","430,00","430,00","430,00","430,00","430,00","430,00","430,00","430,00","430,00","430,00","430,00","430,00","251,35","430,00","430,00","430,00",,,,,
7/1/2021,"658,67","701,81","701,81","701,81","701,81","701,81","702,36","707,57","699,50","699,50","699,50","701,81","701,81","294,29","701,81","701,81","701,81",,,,,
8/1/2021,"742,01","795,47","795,47","795,47","795,47","795,47","797,21","797,21","794,50","794,50","794,50","795,47","795,47","342,43","795,47","795,47","795,47",,,,,
9/1/2021,"528,65","536,45","536,45","570,99","580,94","570,99","600,81","601,38","568,90","568,90","568,90","426,03","426,03","356,80","570,99","570,99","580,94",,,,,
10/1/2021,"430,83","434,82","434,82","434,82","444,28","434,82","448,66","448,66","434,82","434,82","434,82","404,90","404,90","368,99","434,82","434,82","444,28",,,,,
11/1/2021,"428,41","425,83","425,83","430,04","435,67","443,55","432,23","437,52","430,41","430,41","430,41","425,83","425,83","413,89","513,58","513,58","513,58",,,,,
12/1/2021,"390,37","329,72","329,72","453,55","468,88","453,55","454,09","469,62","464,07","464,07","464,07","339,38","339,38","326,39","466,29","466,29","471,31",,,,,
13-01-2021,"438,54","421,97","421,97","436,52","436,52","529,65","436,52","436,52","436,52","436,52","436,52","421,97","421,97","387,77","547,97","547,97","547,97",,,,,
14-01-2021,"709,27","730,05","730,05","742,99","744,54","799,03","727,14","744,54","727,14","727,14","727,14","730,05","730,05","651,90","799,03","795,65","795,65",,,,,
15-01-2021,"557,40","443,73","443,73","760,00","760,88","806,24","752,06","764,06","750,96","749,93","749,93","443,73","443,73","402,07","806,24","806,24","806,24",,,,,
16-01-2021,"510,99","431,53","431,53","564,65","566,82","644,76","568,07","569,53","562,91","562,91","562,91","423,02","423,02","414,88","644,76","644,76","644,76",,,,,
17-01-2021,"515,00","464,48","464,48","548,91","550,89","550,43","550,40","552,37","544,34","544,34","544,34","441,83","441,83","439,22","561,40","561,40","561,40",,,,,
18-01-2021,"566,96","525,95","525,95","570,44","573,04","643,25","568,10","574,94","566,20","566,20","566,20","505,98","505,98","505,95","643,25","643,25","643,25",,,,,
19-01-2021,"476,09","460,81","460,81","471,05","471,05","620,65","469,77","471,05","469,80","469,80","469,80","427,11","427,11","427,11","620,65","620,65","620,65",,,,,
20-01-2021,"365,37","353,90","353,90","362,54","371,88","569,58","361,55","371,88","362,63","362,63","362,63","352,93","352,93","352,93","578,32","578,32","578,32",,,,,
21-01-2021,"305,97","277,87","277,87","318,73","318,73","393,43","290,53","318,73","319,78","319,78","319,78","277,87","277,87","277,87","523,49","523,49","523,49",,,,,
